Date,Tweet,City,Country
Tue Apr 03 18:53:35 +0000 2018,I'll upload my Vickeybong and NCT Empathy unboxing videos hopefully this week. The flu is kicking my butt and I've just been trying to rest when I can.,none,none
Tue Apr 03 18:53:41 +0000 2018,"  Boil Ginger &amp; garlic, pour the cobtents into mug and add lemon &amp; honey... Then sweat it out... ",Georgia,none
Tue Apr 03 18:53:51 +0000 2018,Wow. Celts could actually have Kyrie (1st string) Smart (2nd string) Rozier (3rd string) and Larkin (4th string) all out at the same time. Meanwhile last season's backcourt of IT and AB are also out. #SomebodyGotAVoodooDoll ,none,none
Tue Apr 03 18:53:52 +0000 2018,&amp; you’re cute so go you too. ,none,US
Tue Apr 03 18:53:55 +0000 2018,  Hope you feel better soon Larry. ,none,none
Tue Apr 03 18:54:01 +0000 2018,What you need to know about the worst flu season in nearly a decade? ,none,none
Tue Apr 03 18:54:02 +0000 2018,"I have the flu. At least it waited until I got through California, TESOL, and hanging with friends. If I take the day off tomorrow, maybe I can return to teaching Thursday. *crosses fingers*",none,none
Tue Apr 03 18:54:10 +0000 2018,  Jimmy Howard will start in net for Red Wings tonight v. #CBJ. Jared Coreau has been scheduled to start but he has the flu.…,none,none
Tue Apr 03 18:54:13 +0000 2018,Flu Fighters #MakeABandSickly,none,none
Tue Apr 03 18:54:22 +0000 2018, I mean.................I'm sure you can stretch out your plans for a weekend. Especially since there's no Honda this year. Just say you got swine flu,none,none
Tue Apr 03 18:54:22 +0000 2018,  Satan loves killing. But it could be God. Remember MOSES? GOD HAD TO DO VERY HORRIBLE THINGS TO THE EGYPTIANS TO FREE…,none,none
Tue Apr 03 18:54:24 +0000 2018,  If you are a soft skulled cowpie you think FLU SEASON is coming back.   Why? Because the NEWS says so.  Big Medicine is d…,none,none
Tue Apr 03 18:54:30 +0000 2018,Commonwealth Games 2018: #Flu #outbreak hits athletes' village as questions linger over needles ,none,none
Tue Apr 03 18:54:31 +0000 2018,"Flu creeping up on me. I deserve to be within cuddles, on a very warm chest",none,none
Tue Apr 03 18:54:33 +0000 2018,This flu showing me stars but I also wanna watch The Queen,none,none
Tue Apr 03 18:54:38 +0000 2018, harmless injury uno like the flu would be good enough nothing too serious,none,none
Tue Apr 03 18:54:42 +0000 2018,"#dubai #fashion #iphone #shop #beauty(Nature's Way Kids Smart Vita Gummies Cold &amp; Flu, Immunity 60 Pastilles, for Healthy Immune System, Health, Well being)Link: ",Daytona Beach,none
Tue Apr 03 18:54:47 +0000 2018,  #MakeABandSickly Flu Fighters,none,none
Tue Apr 03 18:54:55 +0000 2018,The schools physician is out with the flu and I’m too broke to go anywhere else ,none,US
Tue Apr 03 18:55:09 +0000 2018,"                                                  Right, Thimerosal is just an extremely toxic and dangerous ""preservative"" used since the early 1900's, all gov't approved and safety studied before being abruptly banned in the US, except in multiple use flu vaccines, in spite of the medical LOVE for this heavy metal poison.",none,none
Tue Apr 03 18:55:10 +0000 2018,#Connecticut: #Flu deaths hit lowest number in weeks - The Hour ,none,none
Tue Apr 03 18:55:16 +0000 2018,poo lighters ,none,none
Tue Apr 03 18:55:18 +0000 2018,all i’m saying is that if i get the stomach flu that’s been going around work this week because people won’t stay home when they’re sick   i’m going to throw a toddler sized tantrum,none,none
Tue Apr 03 18:55:30 +0000 2018,"I liked a  video   NOT FUN DAY AT THE HOSPITAL | FLU SWAB, PFT'S &amp; A BLOWN VEIN  (4.2.18)",none,none
Tue Apr 03 18:55:56 +0000 2018,  i prob have the flu rt to own an anti-vaxxer ,none,none
Tue Apr 03 18:56:01 +0000 2018,"never ignore flu symptoms, now I feel like shooting myself ",none,none
Tue Apr 03 18:56:35 +0000 2018, my sister died last week after getting flu a month ago - she had the shot,none,none
Tue Apr 03 18:56:38 +0000 2018," Right. lol No seriously, men vs women, women have a genetic advantage over men with the flu. Something to do with protection of fetuses. Hence ""manflu"" so I guess the matriarchy can lay claim to that one,or should lay claim to it at least.",none,none
Tue Apr 03 18:56:52 +0000 2018,  caught the Flu didn’t it? ,none,none
Tue Apr 03 18:56:53 +0000 2018,"  Researchers determine how infectious respiratory diseases like the flu are spread on airplanes, including how far in the c…",none,none
Tue Apr 03 18:57:02 +0000 2018, here’s one of your dudes rocking his bear mask  (came in handy for this con flu!) loved meeting you at #Insomnia62. Love both your channels! Get well soon JB ,Los Angeles,none
Tue Apr 03 18:57:14 +0000 2018, Flu too.,none,none
Tue Apr 03 18:57:20 +0000 2018,I got the #FluShot this year and guess what?! I didn't get the flu. So shush all u #antivaccinaters,none,US
Tue Apr 03 18:57:23 +0000 2018,Try FLUgone ,none,none
Tue Apr 03 18:57:24 +0000 2018,"  Thanks for your question. Though influenza B viruses have been circulating throughout flu season, they have been more frequently reported than influenza A viruses in the last couple of weeks. (1/2)",Los Angeles,none
Tue Apr 03 18:57:25 +0000 2018,Kimberley lets talk ,none,none
Tue Apr 03 18:57:38 +0000 2018,Flu Fighters #MakeABandSickly,none,US
Tue Apr 03 18:57:39 +0000 2018,"  It's not over yet, everyone. We're dealing with a particularly serious flu season and while the numbers are going down, th…",none,none
Tue Apr 03 18:57:41 +0000 2018,  Status updates for tonight's game at Oklahoma City: Kevin Durant (right rib soreness) &amp; Klay Thompson (fractured right thum…,none,none
Tue Apr 03 18:57:41 +0000 2018,"  It is not uncommon to see a late season increase of influenza B activity, but overall flu activity is declining. CDC will continue to monitor flu activity and publish surveillance reports each week at  (2/2)",none,none
Tue Apr 03 18:57:45 +0000 2018,#MakeABandSickly  Huey Lewis And The NewS-train Of Flu Virus,none,none
Tue Apr 03 18:57:47 +0000 2018,  i prob have the flu rt to own an anti-vaxxer ,none,none
Tue Apr 03 18:57:50 +0000 2018,Having the flu &amp; a nose ring just don’t go together literally can’t blow my nose with out wanting to cry everytime,Chandler,none
Tue Apr 03 18:57:58 +0000 2018,I’m so out of shape I mistook being sore for having a major flu.  I tried to get Brit to come home from work.   My whole body was tense and hurting.  I thought I had the bubble guts.  I stretched took an ibuprofen and now I’m straight lol,none,none
Tue Apr 03 18:58:05 +0000 2018,Getting tested for the flu is one of the worst things I’ve ever experienced,none,US
Tue Apr 03 18:58:07 +0000 2018,"Happy Tuesday! The good news is the flu tests were negative! The bad news is middle son, mom &amp; dad ALL have strep.  No biggie.  Hooray for free antibiotics from ",Ikeja,none
Tue Apr 03 18:58:07 +0000 2018,"Skittles do not, in fact, help with the cold or flu.",Napa,none
Tue Apr 03 18:58:21 +0000 2018,Feel so stresssd out and weak from flu to malaria ,none,NG
Tue Apr 03 18:58:33 +0000 2018,This flu has me feeling so awful legit want to puke my lungs out and jump in a cold ass pool,none,US
Tue Apr 03 18:58:47 +0000 2018,"  Jared Coreau was supposed to start tonight but out with flu. Howard starts, McCollum backup. Coreau likely start one of…",Highland,none
Tue Apr 03 18:58:47 +0000 2018, hehehe but we have to:) I already got flu so i convince myself that it can't get worse lol  I'll get a life next month lol,none,none
Tue Apr 03 18:58:50 +0000 2018,my stepmom has the flu so my dad stayed home from work and made brownies and took care of her ,none,US
Tue Apr 03 18:58:54 +0000 2018,"  April 3, 2016 ...  When Prince Tweeted that he had the flu ... I mailed him a get well soon card to Paisley Park  #Prince4Eve…",none,none
Tue Apr 03 18:59:08 +0000 2018,  #MakeABandSickly Flu Fighters,none,none
Tue Apr 03 18:59:16 +0000 2018,  #MakeABandSickly Flu Fighters,none,none
Tue Apr 03 18:59:19 +0000 2018,  Returning home with your prescription after checking in a Kenyan private hospital for a flu treatment. ,none,none
Tue Apr 03 18:59:49 +0000 2018,it’s Horny Flu.,none,none
Tue Apr 03 18:59:57 +0000 2018,"""I have the flu I need money"" - lasttooth",none,none
Tue Apr 03 19:00:02 +0000 2018,"  Researchers determine how infectious respiratory diseases like the flu are spread on airplanes, including how far in the c…",none,none
Tue Apr 03 19:00:04 +0000 2018, Flu flamming. That song is my shit rn listen to it and if you like it give me creditsss babyyy,none,none
Tue Apr 03 19:00:12 +0000 2018,"Father suffers rare flu complications, loses fingers and both feet  ",none,none
Tue Apr 03 19:00:13 +0000 2018,  it’s Horny Flu.,none,none
Tue Apr 03 19:00:15 +0000 2018,  Play Sol705! Sol705 a free point &amp;amp; click graphic adventure with lots of retro mystery and a plot set to stunt!  #g…,none,none
Tue Apr 03 19:00:25 +0000 2018,"slowly getting back into the swing after the long holiday weekend, coupled with what’s felt like rogue late winter flu (completely blaming the weather seesaw ) • whenever I’m feeling sluggish or worn down, nourishing and heartier stews never…  ",none,none
Tue Apr 03 19:00:28 +0000 2018," You Hampstead c*nt.  I was laid up in bed, with a swollen ankle and the flu and watched Humanity and then laughed for an hour so I watched it again, then messaged all my friends and told them to. You funny, but oh-so-hilarious c*nt.",none,none
Tue Apr 03 19:00:32 +0000 2018,"Nothing tastes as good as this when the flu is trying to knock you out. Don’t @ me over the straw method, I’m in my nghelo feels right now.  ",none,none
Tue Apr 03 19:00:34 +0000 2018,"150 people in North Texas and thousands more across the state have died from the #flu this season, which state health officials say peaked in late January. ",none,none
Tue Apr 03 19:00:41 +0000 2018,  I want flu to Saturn,none,none
Tue Apr 03 19:00:48 +0000 2018,Why does MRSA seem to have such a predilection for causing secondary bacterial pneumonia after a severe bout of the flu?  ,none,none
Tue Apr 03 19:00:51 +0000 2018,South Africa detects avian flu in seabirds JOHANNESBURG (Reuters) - South Africa has detected an outbreak of  #news,none,none
Tue Apr 03 19:00:54 +0000 2018,"In recent weeks, influenza B viruses have been more frequently reported than influenza A viruses. However, illness associated with influenza B can be just as severe as illness associated with influenza A. Learn more:  ",none,none
Tue Apr 03 19:01:02 +0000 2018,  #MakeABandSickly Flu Fighters,none,none
Tue Apr 03 19:01:02 +0000 2018,"This is the story of my brother, who at 33-years old went into the hospital with #flu, and left three months later with a new set of lungs. #organdonation #nationaldonatelifemonth #giftoflife ",none,none
Tue Apr 03 19:01:13 +0000 2018, thanks hunny apparently i dont have stomach flu just regular flu and now i have fever :/,none,none
Tue Apr 03 19:01:15 +0000 2018,"  Flu viruses continue to pose one of the world’s greatest public health challenges, and the risk of a flu pandemic is always the…",none,none
Tue Apr 03 19:01:20 +0000 2018,  it’s Horny Flu.,none,none
Tue Apr 03 19:01:24 +0000 2018," Jack, please tell me you will come to North Carolina again. I was so excited to come to the How Did We Get Here tour, but I got the flu 5 days ago and I can’t get out of bed. I live in Wake Forest, and I am so close to Durham, so please come back soon.",none,none
Tue Apr 03 19:01:31 +0000 2018,I rather have the flu ,none,none
Tue Apr 03 19:01:32 +0000 2018,  #MakeABandSickly Flu Fighters,none,none
Tue Apr 03 19:01:39 +0000 2018,Horny Flu. Yes.,none,none
Tue Apr 03 19:01:44 +0000 2018,  #MakeABandSickly Flu Fighters,none,none
Tue Apr 03 19:01:54 +0000 2018,  Horny Flu. Yes.,none,none
Tue Apr 03 19:01:58 +0000 2018,welp. i have the stomach flu that’s great,none,none
Tue Apr 03 19:02:01 +0000 2018,down with flu might get fever and tmr propa hm no chance ,none,none
Tue Apr 03 19:02:08 +0000 2018,#MakeABandSickly Motley Flu,none,none
Tue Apr 03 19:02:13 +0000 2018,  #MakeABandSickly Flu Fighters,none,none
Tue Apr 03 19:02:22 +0000 2018,i got gold chain flu!,none,none
Tue Apr 03 19:02:24 +0000 2018,                  why do                                   i catch feelings                           easier than                                  the flu ????                   ,none,none
Tue Apr 03 19:02:25 +0000 2018,A Flock of Seagulls Bird Flu  #MakeABandSickly,none,none
Tue Apr 03 19:02:26 +0000 2018,  Status updates for tonight's game at Oklahoma City: Kevin Durant (right rib soreness) &amp; Klay Thompson (fractured right thum…,none,none
Tue Apr 03 19:02:31 +0000 2018,  Returning home with your prescription after checking in a Kenyan private hospital for a flu treatment. ,none,none
Tue Apr 03 19:02:35 +0000 2018,"  Me: Damn, just got flu again  People: ",none,none
Tue Apr 03 19:02:35 +0000 2018,"  Me: Damn, just got flu again  People: ",none,none
Tue Apr 03 19:02:35 +0000 2018,"  Me: Damn, just got flu again  People: ",none,none
Tue Apr 03 19:02:35 +0000 2018,"  Me: Damn, just got flu again  People: ",none,none
Tue Apr 03 19:02:35 +0000 2018,"  Me: Damn, just got flu again  People: ",none,none
Tue Apr 03 19:02:36 +0000 2018,"  Me: Damn, just got flu again  People: ",none,none
Tue Apr 03 19:02:36 +0000 2018,"  Me: Damn, just got flu again  People: ",none,none
Tue Apr 03 19:02:36 +0000 2018,"  Me: Damn, just got flu again  People: ",none,none
Tue Apr 03 19:02:36 +0000 2018,"  Me: Damn, just got flu again  People: ",none,none
Tue Apr 03 19:02:37 +0000 2018,"  Me: Damn, just got flu again  People: ",none,none
Tue Apr 03 19:02:37 +0000 2018,"  Me: Damn, just got flu again  People: ",none,none
Tue Apr 03 19:02:37 +0000 2018,"  Me: Damn, just got flu again  People: ",none,none
Tue Apr 03 19:02:38 +0000 2018,"  Me: Damn, just got flu again  People: ",none,none
Tue Apr 03 19:02:38 +0000 2018,"  Me: Damn, just got flu again  People: ",none,none
Tue Apr 03 19:02:38 +0000 2018,"  Me: Damn, just got flu again  People: ",none,none
Tue Apr 03 19:02:38 +0000 2018,"  Me: Damn, just got flu again  People: ",none,none
Tue Apr 03 19:02:39 +0000 2018,"  Me: Damn, just got flu again  People: ",none,none
Tue Apr 03 19:02:39 +0000 2018,"  Me: Damn, just got flu again  People: ",none,none
Tue Apr 03 19:02:39 +0000 2018,"  Me: Damn, just got flu again  People: ",none,none
Tue Apr 03 19:02:39 +0000 2018,"  Me: Damn, just got flu again  People: ",none,none
Tue Apr 03 19:02:40 +0000 2018,"  Me: Damn, just got flu again  People: ",none,none
Tue Apr 03 19:02:40 +0000 2018,"  Me: Damn, just got flu again  People: ",none,none
Tue Apr 03 19:02:40 +0000 2018,"  Me: Damn, just got flu again  People: ",none,none
Tue Apr 03 19:02:40 +0000 2018,"  Me: Damn, just got flu again  People: ",none,none
Tue Apr 03 19:02:41 +0000 2018,"  Me: Damn, just got flu again  People: ",none,none
Tue Apr 03 19:02:41 +0000 2018,"  Me: Damn, just got flu again  People: ",none,none
Tue Apr 03 19:02:41 +0000 2018,"  Me: Damn, just got flu again  People: ",none,none
Tue Apr 03 19:02:41 +0000 2018,"  Me: Damn, just got flu again  People: ",none,none
Tue Apr 03 19:02:42 +0000 2018,"  Me: Damn, just got flu again  People: ",none,none
Tue Apr 03 19:02:42 +0000 2018,"  Me: Damn, just got flu again  People: ",none,none
Tue Apr 03 19:02:42 +0000 2018,"  Me: Damn, just got flu again  People: ",none,none
Tue Apr 03 19:02:42 +0000 2018,"  Me: Damn, just got flu again  People: ",none,none
Tue Apr 03 19:02:42 +0000 2018,"  Me: Damn, just got flu again  People: ",none,none
Tue Apr 03 19:02:43 +0000 2018,"  Me: Damn, just got flu again  People: ",none,none
Tue Apr 03 19:02:45 +0000 2018,"  Breaking the Flu, Fuck vaccines ",none,none
Tue Apr 03 19:02:54 +0000 2018,  I'm pretty sure I picked up the cold or flu bug over the weekend . I feel fever ...,none,none
Tue Apr 03 19:03:10 +0000 2018,  Returning home with your prescription after checking in a Kenyan private hospital for a flu treatment. ,none,none
Tue Apr 03 19:03:15 +0000 2018,How to get over a bad flu in one day: 1L of natural orange juice + random meds + try to no throw up every meal = MISSION ACCOMPLISHED,none,none
Tue Apr 03 19:03:47 +0000 2018,"It's official, I have the flu.",none,none
Tue Apr 03 19:03:50 +0000 2018,  Are you struggling to get over the flu this season? Vitamin C IVs are a great way to give your body the boost it needs to help fight off bacteria’s and viruses. #… ,none,none
Tue Apr 03 19:03:54 +0000 2018,"Seriously. Between the illnesses still ricocheting around our normally healthy household (I had my own bout with the flu just in time for Easter - blech), and the perfectly rotten weather, it's enough to make... ",North Tipperary,none
Tue Apr 03 19:04:13 +0000 2018,"  Me: Damn, just got flu again  People: ",none,none
Tue Apr 03 19:04:20 +0000 2018,Thrilled about having the flu for the 37th time this year ,none,IE
Tue Apr 03 19:04:21 +0000 2018,"  Me: Damn, just got flu again  People: ",none,none
Tue Apr 03 19:04:34 +0000 2018,It says cold and flu report is high in my area,none,none
Tue Apr 03 19:04:46 +0000 2018,"  In recent weeks, influenza B viruses have been more frequently reported than influenza A viruses. However, illness associated w…",none,none
Tue Apr 03 19:04:47 +0000 2018,     That would genuinely be declared as a major incident. The only way it could possibly happen would be due to something extraordinary like a serious ‘flu or some kind of accident/disaster,none,none
Tue Apr 03 19:04:51 +0000 2018," If you've ever demanded a prescription for antibiotics for a cold or the flu, thanks.",none,none
Tue Apr 03 19:04:58 +0000 2018,"  Me: Damn, just got flu again  People: ",none,none
Tue Apr 03 19:05:02 +0000 2018,  Clearly interesting about the backpack however that one Thief about the school board the sheriff for the FBI blunders that's why no one's listening no credibility it's like the flu he'll be around for a while,none,none
Tue Apr 03 19:05:04 +0000 2018," I keep hearing this with other people. It just hits you all of a sudden and drains you from all your energy like the flu I guess. Try and rest as much as you can Gavin, we want you back to your jolly self x",none,none
Tue Apr 03 19:05:06 +0000 2018,#Connecticut: #Flu deaths hit lowest number in weeks - The Hour ,none,none
Tue Apr 03 19:05:10 +0000 2018," Yeah...was it in one of your pieces that I read that the flu was largely acquired and spread this winter by people who had visited a hospital, and people were being advised NOT to go unless they had to (for example, not to visit hospitalized friends)?",none,none
Tue Apr 03 19:05:18 +0000 2018,"  In recent weeks, influenza B viruses have been more frequently reported than influenza A viruses. However, illness associated w…",none,none
Tue Apr 03 19:05:22 +0000 2018,Intersting read. Has your family been affected by the flu? ,none,none
Tue Apr 03 19:05:24 +0000 2018,I hope this chicken soup will make me feel better. I have been sick for almost a week. It is not flu. No fever ,none,none
Tue Apr 03 19:05:36 +0000 2018,  #MakeABandSickly Flu Fighters,none,none
Tue Apr 03 19:05:41 +0000 2018,He’s had a cold less than 24hours! He’s already cracked open the Olbas Oil! Man Flu has arrived,none,none
Tue Apr 03 19:05:41 +0000 2018,           ,none,none
Tue Apr 03 19:05:49 +0000 2018, The Flu Fighters,none,none
Tue Apr 03 19:05:52 +0000 2018,Motley Flu  #MakeABandSickly,none,none
Tue Apr 03 19:06:04 +0000 2018,  Firefighter loses both hands and feet from flu complications… ,none,none
Tue Apr 03 19:06:06 +0000 2018,       That would genuinely be declared as a major incident. The only way i…,none,none
Tue Apr 03 19:06:19 +0000 2018,"  Me: Damn, just got flu again  People: ",none,none
Tue Apr 03 19:06:22 +0000 2018,  Unless you really ill.. I. Mean super deathly.. Stupid colds.. Flu's you do not need antibiotics.. Drink some OJ eat healthy food.. Sweat it out 2 days your gd.. Bunch of wimps..,none,none
Tue Apr 03 19:06:35 +0000 2018,The flu is SO fun ,none,none
Tue Apr 03 19:06:40 +0000 2018,"  They had the new ""Flu Jab First"" So it was ok for them to go in and out! This whole Farce is Pure Tory Anti-Russia or mor…",none,none
Tue Apr 03 19:06:43 +0000 2018,  Status updates for tonight's game at Oklahoma City: Kevin Durant (right rib soreness) &amp; Klay Thompson (fractured right thum…,none,none
Tue Apr 03 19:06:45 +0000 2018,  I'm a mom of 2 kids w/ complex medical needs.  has been a life saver. I order vomit bags in waiting rooms &amp; bed…,none,none
Tue Apr 03 19:06:51 +0000 2018,"Another word making the rounds, like a flu virus, but one you should avoid with equal vigor: ""parallel"" as a verb. Not specific enough for scholarly prose. ""I do not think it means what you think it means."" #amediting",none,none
Tue Apr 03 19:06:57 +0000 2018,Ayurvedic Cold and Flu Remedies | Kripalu ,none,none
Tue Apr 03 19:06:58 +0000 2018, I got the flu bug ;o(,none,none
Tue Apr 03 19:06:59 +0000 2018,Mood: I need a doctor  Me: it's just a flu Others: Dr. DRe ft EmINEm,none,none
Tue Apr 03 19:07:08 +0000 2018,"  In recent weeks, influenza B viruses have been more frequently reported than influenza A viruses. However, illness associated w…",none,none
Tue Apr 03 19:07:11 +0000 2018,"I have been nauseous the whole damn day, can’t I just vomit n get over this  damn flu",none,none
Tue Apr 03 19:07:17 +0000 2018,"  Me: Damn, just got flu again  People: ",none,none
Tue Apr 03 19:07:19 +0000 2018,At this point i need a sick leave for school  because this cold/flu will not go away.,none,none
Tue Apr 03 19:07:22 +0000 2018,"They also working on a oral flu vaccine, entered phase 2",none,none
Tue Apr 03 19:07:23 +0000 2018,Mom fractures her ankle this weekend had to help take care of her now tristan has the flu. Just call me nurse Kiana ,none,none
Tue Apr 03 19:07:24 +0000 2018,Flu Fighters  #MakeABandSickly,none,none
Tue Apr 03 19:07:36 +0000 2018,  #MakeABandSickly Flu Fighters,none,none
Tue Apr 03 19:07:40 +0000 2018,  #MakeABandSickly Flu Fighters,Edinburgh,none
Tue Apr 03 19:07:49 +0000 2018,"  Me: Damn, just got flu again  People: ",Southampton,none
Tue Apr 03 19:07:51 +0000 2018,I have the flu and I'm too ill to reach the remote and turn off River City. I think I might have died and gone to Hell.,none,GB
Tue Apr 03 19:08:31 +0000 2018,Flu Fighters. ,none,GB
Tue Apr 03 19:08:31 +0000 2018,No flu. Just a sinus infection. What a crappy sinus infection.,none,none
Tue Apr 03 19:08:39 +0000 2018,Text Message Based Survey Reveals Flu Shot Attitudes  via ,none,none
Tue Apr 03 19:08:42 +0000 2018,  Motley Flu  #MakeABandSickly,none,none
Tue Apr 03 19:08:50 +0000 2018,"fuck it. I'm gonna put all of that corbynite shit behind me. I am hosting a seder on Saturday, a week late thanks to the Flu from hell, but it's gonna be great, my friends will be at it, and it will be really lovely &lt;3   also  is making her delish matzah ball soup!",none,none
Tue Apr 03 19:08:52 +0000 2018,[$200] NIKE AIR JORDAN RETRO 12 FLU GAMES ,none,none
Tue Apr 03 19:09:00 +0000 2018,Flu Cantrell #MakeABandSickly,none,none
Tue Apr 03 19:09:31 +0000 2018,"  Me: Damn, just got flu again  People: ",none,none
Tue Apr 03 19:09:32 +0000 2018,#MakeABandSickly Motley Flu,none,none
Tue Apr 03 19:09:38 +0000 2018, So u decided to not read “damn flu”?,none,none
Tue Apr 03 19:09:38 +0000 2018,I just cried bc I’ve lost more weight this week than I did when I had the flu and I can’t stop it,none,none
Tue Apr 03 19:09:40 +0000 2018,  Returning home with your prescription after checking in a Kenyan private hospital for a flu treatment. ,none,none
Tue Apr 03 19:09:40 +0000 2018,"  In recent weeks, influenza B viruses have been more frequently reported than influenza A viruses. However, illness associated w…",none,none
Tue Apr 03 19:09:44 +0000 2018,Avian Flu Diary:  IDPH Apr 3rd Update On Cluster Of Severe Bleeding Linked to Spice/K2  ,none,none
Tue Apr 03 19:10:04 +0000 2018,#MakeABandSickly Flu Fighters,Frederickson,none
Tue Apr 03 19:10:27 +0000 2018,  Is this some twisted joke? We received a snow day and I literally have the stomach flu ,none,none
Tue Apr 03 19:10:32 +0000 2018,  Would you prefer they tell you they got sick or arrive as scheduled with the flu?,none,US
Tue Apr 03 19:10:36 +0000 2018," thanks jess! it's just a flu but it's fcking awful, it takes the fun away ",none,none
Tue Apr 03 19:10:54 +0000 2018,[$200] NIKE AIR JORDAN RETRO 12 FLU GAMES ,none,none
Tue Apr 03 19:11:12 +0000 2018,[$200] NIKE AIR JORDAN RETRO 12 FLU GAMES ,none,none
Tue Apr 03 19:11:19 +0000 2018,Is it cowardice to not want to be officially diagnosed with something bigger than the flu?,none,none
Tue Apr 03 19:11:32 +0000 2018,stomach flu is kickin me &amp; baby’s ass ,none,none
Tue Apr 03 19:11:34 +0000 2018,Took some cold a flu meds and was knocked out again.,none,none
Tue Apr 03 19:11:35 +0000 2018, Weee lutho mbhemu...its the antibiotics i got from the Dr since ngine flu,none,none
Tue Apr 03 19:11:43 +0000 2018,So I’m just getting over the flu . I am on chemotherapy medication which I had to stop as it… ,none,none
Tue Apr 03 19:11:50 +0000 2018,  wild. i'm old enough to remember when peter mackay was a minister of the crown getting fun free trips on search and resc…,none,none
Tue Apr 03 19:12:00 +0000 2018,New post: Flu &amp; Cold Wellness Tea - Immune Boosting Turmeric Tea by D.Baron -  ,none,none
Tue Apr 03 19:12:01 +0000 2018,By luck -- and careful use of X-ray crystallography --  Institute scientists find clue to a powerful new class of flu drugs  ,none,none
Tue Apr 03 19:12:08 +0000 2018,"I take it back, it's not exhaustion making me sick. Whatever this is, I hope it's just a stomach virus. I don't have time for the flu.",none,none
Tue Apr 03 19:12:15 +0000 2018,  He's go the flu..,none,none
Tue Apr 03 19:12:16 +0000 2018,Text Message Based Survey Reveals Flu Shot Attitudes  via ,none,none
Tue Apr 03 19:12:20 +0000 2018,"  In recent weeks, influenza B viruses have been more frequently reported than influenza A viruses. However, illness associated w…",none,none
Tue Apr 03 19:12:29 +0000 2018, Venezuela's health system is in worse condition than expected? Thank all the Democrats that invite them to cross America's southern borders illegally and unvaccinated when your children are dying from strands of flu that vaccines are powerless combatting.,none,none
Tue Apr 03 19:12:30 +0000 2018,  Status updates for tonight's game at Oklahoma City: Kevin Durant (right rib soreness) &amp; Klay Thompson (fractured right thum…,none,none
Tue Apr 03 19:12:32 +0000 2018,  wild. i'm old enough to remember when peter mackay was a minister of the crown getting fun free trips on search and resc…,none,none
Tue Apr 03 19:12:37 +0000 2018,#MakeABandSickly Motley Flu,none,none
Tue Apr 03 19:12:38 +0000 2018,"The rash that developed on my back, tummy and spread to my legs, thighs well the meds that stupid pharmacist gave me didnt help, the ones I got from my GP stopped it from spreading and it's not as unbearably itchy as it was before. Making progress but sore throat and flu are back",none,none
Tue Apr 03 19:12:41 +0000 2018,"  In recent weeks, influenza B viruses have been more frequently reported than influenza A viruses. However, illness associated w…",none,none
Tue Apr 03 19:12:41 +0000 2018, I cant even lie on the bed due to the flu ,none,none
Tue Apr 03 19:12:43 +0000 2018,          That’s unbelievable! Creative activities don’t turn people into gay!Being gay is NOT a disease or an illness like the flu or mono or HIV.... ,none,none
Tue Apr 03 19:12:43 +0000 2018,"  Me: Damn, just got flu again  People: ",none,none
Tue Apr 03 19:12:50 +0000 2018,swine flu and sex  ,none,none
Tue Apr 03 19:13:04 +0000 2018,"Herman Cain on swine flu: ""I got it from Ruth Bader Ginsberg!"" #Drumpf #FreedomIsntFree",none,none
Tue Apr 03 19:13:06 +0000 2018,Isn't funny that when u got flu you meet a lot of people with flu even my taxi driver today had flu; then it's flu conversations all the way.,none,none
Tue Apr 03 19:13:07 +0000 2018,"  In recent weeks, influenza B viruses have been more frequently reported than influenza A viruses. However, illness associated w…",none,none
Tue Apr 03 19:13:17 +0000 2018,  Throwing a party when I get over this flu  but hi twitter sorry for being inactive ,none,none
Tue Apr 03 19:13:17 +0000 2018,"  Oh YES...  Flu Vaccines help less than 2% of those vaccinated.  BECAUSE THE BAD GUYS DON'T RAT ON THEMSELVES, WE DON'T HE…",none,none
Tue Apr 03 19:13:26 +0000 2018,ive been inactive bc i have the stomach flu..why meee,none,none
Tue Apr 03 19:13:28 +0000 2018,I think I have the flu ,none,none
Tue Apr 03 19:13:29 +0000 2018,  Coreau was suppose to be the starter tonight. Bout of flu. Howard starting. McCollum flying in to back up.,none,none
Tue Apr 03 19:13:30 +0000 2018,  NHS 'management' find winter a shock and surprise every year And so fail to plan (=manage) for it.  In any other sphere t…,none,none
Tue Apr 03 19:13:36 +0000 2018,  Strep and flu have the same symptoms doc,none,none
Tue Apr 03 19:13:38 +0000 2018," Preventing 1 more plastic lid going into landfill than I deem necessary is worth more than risking a flu epidemic, sorry!",none,none
Tue Apr 03 19:13:44 +0000 2018,“Not Flu Game” dropping in 2 weeks.,none,none
Tue Apr 03 19:13:48 +0000 2018," I used one of those webmd sites and I either have the flu or food poisoning, either way I’m done for with how I feel rn",none,none
Tue Apr 03 19:13:53 +0000 2018,  #MakeABandSickly Flu Fighters,none,none
Tue Apr 03 19:13:54 +0000 2018,  wild. i'm old enough to remember when peter mackay was a minister of the crown getting fun free trips on search and resc…,none,none
Tue Apr 03 19:13:56 +0000 2018,  #MakeABandSickly Flu Fighters,none,none
